brand,name,product_type,ingredient,price,rank
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,LACTOBACILLUS/HONEYSUCKLE FLOWER/LICORICE ROOT/MORUS ALBA ROOT/PUERARIA LOBATA ROOT/SCHIZANDRA CHINENSIS FRUIT/SCUTELLARIA BAICALENSIS ROOT/SOPHORA JAPONICA FLOWER EXTRACT FERMENT FILTRATE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,PERFLUOROHEXANE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,OLEA EUROPAEA (OLIVE) LEAF EXTRACT,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,GLYCERIN,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,EUCALYPTUS GLOBULUS LEAF OIL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,CAMELLIA SINENSIS LEAF EXTRACT,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,CHRYSANTHEMUM INDICUM FLOWER EXTRACT,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,PUERARIA LOBATA ROOT EXTRACT,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,PERFLUORODECALIN,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,MORUS ALBA FRUIT EXTRACT,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,MAGNOLIA KOBUS BARK EXTRACT,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,GLYCINE SOJA (SOYBEAN) SPROUT EXTRACT,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,DIOSPYROS KAKI LEAF EXTRACT,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,CINNAMOMUM CASSIA BARK EXTRACT,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,ARTEMISIA PRINCEPS LEAF EXTRACT,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,PENTAFLUOROPROPANE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,CURCUMA LONGA (TURMERIC) ROOT EXTRACT,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,STEARETH-20,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,HYDROLYZED HYALURONIC ACID,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,COLLOIDAL OATMEAL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,HYDROLYZED SILK,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,CITRIC ACID,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,SODIUM BENZOATE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,POTASSIUM SORBATE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,ALOE BARBADENSIS LEAF EXTRACT,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,N-HYDROXYSUCCINIMIDE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,HYDROLYZED COLLAGEN,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,CAPRYLHYDROXAMIC ACID,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,TOCOPHEROL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,THIAMINE HCL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,RIBOFLAVIN,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,RETINYL PALMITATE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,PANTOTHENIC ACID,38,4.1
