ingredient,cmr,product_type
HC RED NO 10 + HC RED NO 11,,Hair Dye Substance In Oxidative Hair Dye Products
HC RED NO 10 + HC RED NO 11,,Hair Dye Substance In Non-Oxidative Hair Dye Products
HC RED NO 10+ HC RED NO 11,,Hair Dye Substance In Oxidative Hair Dye Products
HC RED NO 10+ HC RED NO 11,,Hair Dye Substance In Non-Oxidative Hair Dye Products
2-CHLORO-6-ETHYLAMINO-4-NITROPHENOL,,Oxidising Colouring Agents For Hair Dyeing
2-CHLORO-6-ETHYLAMINO-4-NITROPHENOL,,Non-Oxidising Colouring Agents For Hair Dyeing
HC RED NO 7,,Hair Dye Substance In Non-Oxidative Hair Dye Products
2-AMINO-6-CHLORO-4-NITROPHENOL,,Hair Dye Substance In Oxidative Hair Dye Products
2-AMINO-6-CHLORO-4-NITROPHENOL,,Hair Dye Substance In Non- Oxidative Hair Dye Products
HC YELLOW NO. 4,,Hair Dye Substance In Non-Oxidative Hair Dye Products
HC YELLOW NO 4,,Hair Dye Substance In Non-Oxidative Hair Dye Products
ACID RED 33,,Hair Dye Substance In Non-Oxidative Hair Dye Products
HC YELLOW NO 2,,Hair Dye Substance In Oxidative Hair Dye Products
HC YELLOW NO 2,,Hair Dye Substance In Non-Oxidative Hair Dye Products
HC ORANGE NO 1,,Hair Day Substance In Non-Oxidative Hair Dye Products
LAURETH-9,,Leave-On Products
LAURETH-9,,Rinse-Off Products
HC RED NO 1,,Hair Dye Substance In Non-Oxidative Hair Dye Products
HC YELLOW NO 9,,Hair Dye Substance In Non-Oxidative Hair Dye Products
HC YELLOW NO 7,,Hair Dye Substance In Oxidative Hair Dye Products
HC YELLOW NO 13,,"After Mixing Under Oxidative Conditions The Maximum Concentration Applied To Hair Must Not Exceed 2,5% For"
HC YELLOW NO 13,,And
